epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.312,0.77624,3.22515,1.18523,0.74726,0.83786,0.76722,0.67583,0.48849,1.71851,1.09808,0.00011432,0.00011432,0.00011432
2,35.1955,0.59463,1.26014,1.06855,0.98067,0.91911,0.97399,0.89075,0.41747,1.22464,0.88273,0.000238922,0.000238922,0.000238922
3,44.0527,0.56927,0.91024,0.99234,0.92637,0.96301,0.97924,0.88147,0.46132,1.14098,0.9,0.000359279,0.000359279,0.000359279
4,52.1555,0.54771,0.8043,0.97421,0.88449,0.90569,0.96557,0.86447,0.51632,1.27666,0.94235,0.000475393,0.000475393,0.000475393
5,59.3132,0.55835,0.7258,0.96701,0.84306,0.79538,0.93098,0.79585,0.52479,1.16008,0.929,0.000587262,0.000587262,0.000587262
6,66.818,0.5879,0.74834,0.99777,0.77839,0.76617,0.8731,0.7513,0.58413,1.24842,0.97176,0.000694887,0.000694887,0.000694887
7,76.604,0.61886,0.7666,1.01341,0.90102,0.54872,0.64576,0.56367,0.65258,1.46077,1.02659,0.000798268,0.000798268,0.000798268
8,82.4504,0.61966,0.7451,1.01886,0.81099,0.85415,0.91532,0.7922,0.58617,0.77463,0.95898,0.000897405,0.000897405,0.000897405
9,89.2739,0.58276,0.66476,0.98173,0.58622,0.87882,0.86425,0.71838,0.6924,1.20807,1.0646,0.000992298,0.000992298,0.000992298
10,96.6162,0.63751,0.68761,1.01865,0.60259,0.77709,0.79155,0.6289,0.81883,1.38485,1.10309,0.00108295,0.00108295,0.00108295
11,104.91,0.61038,0.6734,1.00682,0.83594,0.88062,0.89851,0.77256,0.64563,0.79237,1.06878,0.00116935,0.00116935,0.00116935
12,111.417,0.6072,0.65477,0.98458,0.65508,0.83268,0.83734,0.72263,0.66522,3.6543,1.07241,0.00116964,0.00116964,0.00116964
13,119.385,0.59158,0.6462,0.99253,0.65923,0.62538,0.65479,0.53404,0.70675,2.51993,1.08069,0.00114606,0.00114606,0.00114606
14,125.775,0.59347,0.61409,0.98852,0.91377,0.93668,0.9642,0.82342,0.56456,0.5564,0.99672,0.00112248,0.00112248,0.00112248
15,132.477,0.53979,0.55778,0.96808,0.98788,0.87754,0.96418,0.83541,0.52586,0.62753,0.9544,0.0010989,0.0010989,0.0010989
